Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
10039_24,7508,5.27,194,0.01,0.04,0.41,0.08,0,0,0.08,0.05,0,0.39,0.08,0,0.07,0.45,0.05,0.15,0.93,0,0,6.50,0.01,30.57,5.14,0.04,1.94,0,0.47,1.57,12.12,0.13,0.35,0.17,0.07,0.17,0.11,1.07,0.28,0,0.35,0.75,0.03,0,0.05,0,0,0,0.13,0.17,0.01,0.05,0.07,0.11,0.59,0.07,0.17,0.09,1.01,2.88,0,0,0,0.11,0.47,0.63,0.47,
10039_25,547,5.42,235,0,0,1.65,0.18,0,0,0.18,0.18,0,0.18,0.55,0,0.37,0.37,0,0,0.55,0,0,3.66,0.73,34.73,3.84,0,1.83,0,0.55,1.65,10.60,0,0.18,0.18,0.91,1.10,0,0.91,0.73,0,0,1.83,0,0.18,0,0,0,0,0.37,0,0,0,0,0.18,0.91,0,1.65,0,0.37,3.47,0,0,0,0.55,0.37,0.73,0.18,
10039_26,307,5.15,215,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0,0,1.95,0,0,4.23,0,44.95,1.63,0,0.65,0,0.98,1.63,6.19,0,0.33,0,0,0.33,0,0.33,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0,0,0,0.33,2.93,0,0,0,0,0,0.33,0.33,
10172_14,4430,5.45,192,0.02,0.09,0.50,0.09,0.02,0,0.14,0.05,0,0.61,0.09,0,0.07,0.05,0.07,0.07,1.26,0,0.05,6.59,0,32.26,6.88,0.07,1.65,0.02,0.52,1.60,11.44,0.09,0.18,0.43,0.09,0.38,0.05,0.79,0.16,0,0.23,0.88,0.11,0,0.11,0,0,0,0.32,0.07,0,0,0.05,0.07,0.34,0.05,0.25,0.02,1.24,2.96,0.05,0.02,0,0.14,0.34,0.79,0.34,
10172_15,167,5.16,117,0,0,0,0,0,0,0.60,0,0,0,0,0,0,0,0,0,0.60,0,0,4.19,0,50.90,2.40,0,1.80,0,0,1.80,5.99,0,0,0,2.99,0,0,0.60,0,0,0,0,0,0,0,0,0,0,0.60,0,0,0,0,0,1.80,0,0,0,0.60,1.20,0,0,0,0,0,1.20,0,
10172_17,1421,4.75,159,0,0.21,1.13,0.07,0,0,0.49,0.14,0,1.34,0.14,0,0.14,0,0,0.14,0.84,0,0,5.98,0.21,24.21,5.98,0.07,1.62,0,0.21,1.41,13.65,0.07,0.14,0.21,1.06,0.28,0,0.70,0.99,0,0.07,1.20,0,0,0.14,0,0,0,0.99,0.07,0,0,0.28,0.14,2.46,0,0.49,0,1.20,2.04,0.07,0,0,0.35,0.42,0.77,0.56,
10172_8,193,5.36,101,0,1.04,2.07,0,0,0,0.52,0.52,0,1.04,0,0,0,0,0,0,1.55,0,0,8.81,0,21.24,6.74,0,1.04,0,0.52,2.59,11.92,0,0.52,0,0,2.59,0,1.04,0.52,0,0.52,1.55,0,0,0,0,0,0,1.55,0,0,0,1.04,0,2.59,0,1.55,0.52,0,5.18,0,0,0,1.04,0,0,0,
10362_12,472,5.33,175,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0.21,0,1.06,3.39,0,0,5.72,0,22.25,8.69,0,0.85,0,0.21,2.33,7.42,0,0,0,0.21,0,0,1.06,0,0,0.42,0.85,0,0,0.42,0,0,0,0,0,0,0.64,0,0.21,0.21,0,0,0,0.21,2.12,0,0,0,0,0.21,0.64,0,
10362_14,246,5.06,112,0,0,0.81,0.41,0,0,0,0,0,0.41,0.41,0,0,0,0,0,0.81,0,0,6.91,0,24.80,6.10,0.41,0.41,0,0.81,1.63,14.63,0,0,0,1.22,0.41,0,2.44,0,0,1.22,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.22,3.66,0,0,0,0,1.22,0,0,
10362_16,1992,5.29,179,0,0,0.70,0.15,0.10,0,0,0.10,0,0.55,0.05,0,0.05,0.15,0.15,0,1.86,0,0,6.58,0,27.31,6.02,0.05,3.97,0.25,0.45,1.71,14.66,0.20,0.55,0.20,0.20,0.25,0.25,1.36,0.25,0,0.40,1.76,0.05,0,0.10,0,0,0,0.30,0.10,0,0.05,0.05,0.20,1.05,0.20,0.25,0.10,0.80,5.77,0,0.05,0,0,0.55,0.85,0.20,
