Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
10039_24,-22.91,-3.71,10.31,-6.52,1.2,-2.33,Learned exposition
10039_25,-20.84,-5.48,11.05,-0.42,1.18,-3.07,Learned exposition
10039_26,-26.11,-4.77,7.65,-8.68,-2.94,-2.71,Learned exposition
10172_14,-24.65,-4.7,11.18,-6.16,0.63,-1.87,Learned exposition
10172_15,-16.85,-7.18,9.95,-1.39,-1.2,-3.5,Learned exposition
10172_17,-16.41,-5.8,11.04,4.46,1.41,0.66,Learned exposition
10172_8,-14.93,-4.72,20.21,3.95,0.9,2.57,Learned exposition
10362_12,-17.73,-6.13,15.19,-7.22,-1.96,-3.5,Learned exposition
10362_14,-14.74,-3.17,11.19,-7.82,4.37,-2.52,Learned exposition
10362_16,-21.1,-3.32,10.25,-5.44,4.96,-2.02,Learned exposition
10362_17,-20.81,-4.33,10.51,-6.92,0.76,-2.48,Learned exposition
10384_11,-22.75,-7.17,11.37,-9.27,-3.92,-3.5,Learned exposition
10384_12,-22.76,-7.11,6.47,-9.27,-3.92,-3.5,Learned exposition
10384_14,-20.02,-1.21,7.35,-4.83,3.65,-1.59,Learned exposition
10384_15,-26.27,-4.6,7.37,-7.66,-0.5,-2.1,Learned exposition
10384_16,-16.24,-5.99,8.49,1.47,2.45,3.83,Learned exposition
10384_18,-31.41,-7.05,2.13,-7.95,-3.92,-3.5,Learned exposition
10776_13,-26.17,-6.34,10.22,-8.54,-1.33,-3.02,Learned exposition
10776_16,-24.45,-4.07,8.68,-7.1,1.21,-2.83,Learned exposition
10776_9,-17.63,-3.05,21.92,-0.57,0.42,0.34,Learned exposition
10853_15,-15.83,-1.6,22.71,0.64,1.93,4.14,Learned exposition
10853_20,-21.03,-3.29,11.51,-9.27,-2.56,-3.5,Learned exposition
10853_21,-21.03,-3.29,11.51,-9.27,-2.56,-3.5,Learned exposition
10853_22,-21.15,-4.62,8.22,-6.93,1.07,-2.79,Learned exposition
10853_24,-18.53,-4.71,9.46,5.07,1.23,-1.33,Learned exposition
